drug_name,medical_condition,generic_name,side_effects
Singulair,Asthma,montelukast,"hives , blisters, severe itching; difficult breathing; swelling of your face, lips, tongue, or throat. Tell your doctor right away if you have signs of blood vessel inflammation: flu-like symptoms, severe sinus pain, a skin rash, numbness or a ""pins and needles"" feeling in your arms or legs. Some people using Singulair have had new or worsening mental problems. Stop taking this medicine and call your doctor right away if you have unusual changes in mood or behavior, such as: agitation, aggression, feeling restless or irritable; anxiety , depression, confusion, problems with memory or attention; stuttering, tremors, uncontrolled muscle movements; suicidal thoughts or actions; hallucinations, sleep problems, vivid, dreams, sleep-walking; or compulsive or repetitive behaviors. Common Singulair side effects may include: stomach pain, diarrhea ; fever or other flu symptoms; ear pain or full feeling, trouble hearing; headache ; or cold symptoms such as runny or stuffy nose, sinus pain, cough, sore throat ."
montelukast,Asthma,montelukast,"hives , blisters, severe itching; difficult breathing; swelling of your face, lips, tongue, or throat. Tell your doctor right away if you have signs of blood vessel inflammation: flu-like symptoms, severe sinus pain, a skin rash, numbness or a ""pins and needles"" feeling in your arms or legs. Some people using montelukast have had new or worsening mental problems. Stop taking montelukast and call your doctor right away if you have unusual changes in mood or behavior, such as: agitation, aggression, feeling restless or irritable; anxiety , depression, confusion, problems with memory or attention; stuttering, tremors, uncontrolled muscle movements; suicidal thoughts or actions; hallucinations, sleep problems, vivid, dreams, sleep-walking; or compulsive or repetitive behaviors. Common side effects of montelukast may include: stomach pain, diarrhea ; fever or other flu symptoms; ear pain or full feeling, trouble hearing; headache ; or cold symptoms such as runny or stuffy nose, sinus pain, cough, sore throat ."
prednisone,Asthma,prednisone,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: blurred vision, eye pain, or seeing halos around lights; swelling, rapid weight gain, feeling short of breath; severe depression, feelings of extreme happiness or sadness, changes in personality or behavior, seizure (convulsions); bloody or tarry stools, coughing up blood; pancreatitis (severe pain in your upper stomach spreading to your back, nausea and vomiting, fast heart rate); low potassium (confusion, uneven heart rate, extreme thirst, increased urination, leg discomfort, muscle weakness or limp feeling); or dangerously high blood pressure (severe headache, blurred vision, buzzing in your ears, anxiety, confusion, chest pain, shortness of breath, uneven heartbeats, seizure). Other common prednisone side effects may include: sleep problems (insomnia), mood changes; increased appetite, gradual weight gain; acne, increased sweating, dry skin, thinning skin, bruising or discoloration; slow wound healing; headache, dizziness, spinning sensation; nausea, stomach pain, bloating; or changes in the shape or location of body fat (especially in your arms, legs, face, neck, breasts, and waist)."
Trelegy Ellipta,Asthma,"fluticasone, umeclidinium, and vilanterol","hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: tremors, nervousness, chest pain, fast or pounding heartbeats; sores or white patches in your mouth and throat, pain when swallowing; wheezing, choking, or other breathing problems after using this medicine; painful or difficult urination; blurred vision, tunnel vision, eye pain , or seeing halos around lights; a lung infection - fever, chills, cough with mucus, feeling short of breath; high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor; low potassium level - leg cramps, constipation, irregular heartbeats, fluttering in your chest, numbness or tingling, muscle weakness or limp feeling; or signs of a hormonal disorder - worsening tiredness or muscle weakness, feeling light-headed, nausea, vomiting. Common Trelegy Ellipta side effects may include: cold or flu symptoms such as runny or stuffy nose, sore throat , cough, chest tightness; a lung infection; nausea, vomiting, constipation, diarrhea ; joint pain; mouth sores, hoarse voice; headache , back pain ; or mouth pain, changes in your sense of taste."
Fasenra,Asthma,benralizumab,"hives , rash; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: new or worsening asthma symptoms. Common Fasenra side effects may include: sore throat ; or headache ."
Nucala,Asthma,mepolizumab,"hives, rash; wheezing, chest tightness, difficult breathing; feeling like you might pass out; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: unusual pain or tiredness; burning or tingling anywhere in your body; or a red or blistering skin rash. Common Nucala side effects may include: headache; feeling tired; back pain; or pain, swelling, redness, burning, or itching where the medicine was injected."
benralizumab,Asthma,benralizumab Brand name: Fasenra,"Benralizumab may cause serious side effects, including: allergic (hypersensitivity) reactions, including anaphylaxis. Serious allergic reactions can happen after you get your benralizumab injection. Allergic reactions can sometimes happen hours or days after you get your injection. Tell your healthcare provider or get emergency help right away if you have any of the following symptoms of an allergic reaction: swelling of your face, mouth and tongue breathing problems fainting, dizziness, feeling lightheaded (low blood pressure) rash hives The most common side effects of benralizumab include headache and sore throat. These are not all the possible side effects of benralizumab. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088. Benralizumab side effects"
fluticasone / umeclidinium / vilanterol,Asthma,"fluticasone, umeclidinium, and vilanterol","hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Fluticasone, umeclidinium, and vilanterol may cause serious side effects. Call your doctor at once if you have: tremors, nervousness , chest pain, fast or pounding heartbeats; sores or white patches in your mouth and throat, pain when swallowing; wheezing, choking, or other breathing problems after using fluticasone, umeclidinium, and vilanterol; painful or difficult urination; blurred vision, tunnel vision, eye pain or redness, or seeing halos around lights; a lung infection--fever, chills, cough with mucus, feeling short of breath; high blood sugar--increased thirst, increased urination, dry mouth, fruity breath odor; low potassium level--leg cramps, constipation , irregular heartbeats, fluttering in your chest, numbness or tingling, muscle weakness or limp feeling; or signs of a hormonal disorder--tiredness or weakness, feeling light-headed, nausea , vomiting . Common side effects of fluticasone, umeclidinium, and vilanterol may include: cold or flu symptoms such as runny or stuffy nose, sinus pain, sore throat , cough, chest tightness; a lung infection; nausea, vomiting, constipation, diarrhea ; urination problems; joint pain; mouth sores, hoarse voice; headache , back pain ; or mouth pain, changes in your sense of taste."
mepolizumab,Asthma,mepolizumab,"hives , rash; wheezing, chest tightness, difficult breathing; feeling like you might pass out; swelling of your face, lips, tongue, or throat. Mepolizumab may cause serious side effects. Call your doctor at once if you have: unusual pain or tiredness; burning or tingling anywhere in your body; or a red or blistering skin rash . Common side effects of mepolizumab may include: headache ; feeling tired; back pain ; or pain, swelling, redness, burning, or itching where the medicine was injected."
tezepelumab,Asthma,tezepelumab,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Some side effects may occur during or after the injection. Tell your caregiver if you feel dizzy, nauseated, light-headed, itchy, short of breath, or if you have swelling in your face. Common side effects of tezepelumab may include: sore throat ; or joint or back pain ."
Tezspire,Asthma,tezepelumab-ekko,"Tezspire may cause serious side effects, including: severe allergic reactions. Call your healthcare provider or get emergency medical care if you get any of the following symptoms of allergic reaction: rash hives breathing problems red, itchy, swollen, or inflamed eyes The most common side effects include: sore throat (pharyngitis) joint pain (arthralgia) back pain These are not all of the possible side effects. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088. Tezspire side effects"
Dulera,Asthma,formoterol and mometasone,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: worsening asthma symptoms; tremors, nervousness, chest pain, fast or pounding heartbeats; fever, chills, cough with mucus, feeling short of breath; wheezing, choking, or other breathing problems after using this medication; blurred vision, tunnel vision, eye pain or redness, or seeing halos around lights; signs of thrush (a fungal infection) - sores or white patches in your mouth or throat, trouble swallowing; high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor; low potassium level - leg cramps, constipation , irregular heartbeats, fluttering in your chest, numbness or tingling, muscle weakness or limp feeling; or signs of a hormonal disorder - tiredness or weakness, feeling light-headed, nausea , vomiting . Mometasone can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using this medicine. Common Dulera side effects may include: runny or stuffy nose, sinus pain; headache ; or cough, sore throat ."
Atrovent,Asthma,ipratropium (inhalation route),"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: More common Bladder pain bloody or cloudy urine cough producing mucus difficult, burning, or painful urination difficulty with breathing frequent urge to urinate lower back or side pain shortness of breath tightness in the chest wheezing Less common Body aches or pain chills cough ear congestion fever headache loss of voice runny nose sneezing sore throat unusual tiredness or weakness Rare Constipation (continuing) or lower abdominal pain or bloating fainting fast, pounding, or irregular heartbeat or pulse severe eye pain skin rash or hives swelling of the face, lips, or eyelids Incidence not known Blindness blurred vision confusion decrease in the frequency of urination decrease in the urine volume decreased vision difficulty in passing urine (dribbling) difficulty with swallowing dizziness dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position hives or welts itching large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs nausea or vomiting noisy breathing puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue redness of the skin redness of the white part of the eyes or inside of the eyelids sweating tearing Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: More common Back pain dryness of the mouth unpleasant taste Less common or rare Acid or sour stomach belching burning eyes diarrhea general feeling of discomfort or illness heartburn indigestion joint pain loss of appetite muscle aches and pains nervousness pain or tenderness around the eyes and cheekbones shivering stomach discomfort, upset, or pain trembling trouble sleeping Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Atrovent side effects"
Breo Ellipta,Asthma,fluticasone and vilanterol,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: wheezing, choking, or other breathing problems after using this medicine; chest pain, fast or pounding heartbeats, pounding in your neck or ears; sores or white patches in your mouth and throat, pain when swallowing; fever, chills, cough with yellow or green mucus; blurred vision, tunnel vision, eye pain , or seeing halos around lights. high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor; low potassium level - leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling; or signs of a hormonal disorder - worsening tiredness or muscle weakness, feeling light-headed, nausea , vomiting . Common Breo Ellipta side effects may include: headache , back pain , joint pain; fever, flu symptoms; increased blood pressure; runny or stuffy nose, sore throat , cough; or a hoarse voice."
ipratropium,Asthma,ipratropium inhalation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. You may need to use a different bronchodilator medication if you have an allergic reaction to ipratropium inhalation. Ipratropium inhalation may cause serious side effects. Call your doctor at once if you have: wheezing, choking, or other breathing problems after using this medicine; little or no urination; blurred vision, tunnel vision, eye pain , or seeing halos around lights; or worsened breathing problems. Common side effects of ipratropium inhalation may include: cold symptoms such as stuffy nose, sneezing, sore throat ; cough with mucus, chest tightness, trouble breathing; or tiredness, or headache ."
methylprednisolone,Asthma,methylprednisolone (oral),"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: shortness of breath (even with mild exertion), swelling, rapid weight gain; bruising, thinning skin, or any wound that will not heal; blurred vision, tunnel vision, eye pain, or seeing halos around lights; severe depression, changes in personality, unusual thoughts or behavior; new or unusual pain in an arm or leg or in your back; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; seizure (convulsions); or low potassium - leg cramps, constipation, irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling. Steroids can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using this medicine. Common methylprednisolone side effects may include: fluid retention (swelling in your hands or ankles); dizziness, spinning sensation; changes in your menstrual periods; headache; mild muscle pain or weakness; or stomach discomfort, bloating."
Atrovent HFA,Asthma,ipratropium inhalation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. You may need to use a different bronchodilator medication if you have an allergic reaction to ipratropium. Call your doctor at once if you have: wheezing, choking, or other breathing problems after using this medicine; little or no urination; blurred vision, tunnel vision, eye pain , or seeing halos around lights; or worsened breathing problems. Common Atrovent HFA side effects may include: dry mouth; bitter taste; headache , dizziness, or tiredness; cold symptoms such as stuffy nose, sneezing, sore throat; cough with mucus, chest tightness, trouble breathing; nausea, upset stomach, constipation back pain; or fever, chills, body aches, flu symptoms"
dexamethasone,Asthma,dexamethasone (oral),"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: muscle tightness, weakness, or limp feeling; blurred vision, tunnel vision, eye pain , or seeing halos around lights; shortness of breath (even with mild exertion), swelling, rapid weight gain; severe depression, unusual thoughts or behavior; a seizure (convulsions); bloody or tarry stools, coughing up blood ; fast or slow heart rate , weak pulse; pancreatitis - severe pain in your upper stomach spreading to your back, nausea and vomiting ; low potassium level - leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling; or increased blood pressure - severe headache , blurred vision, pounding in your neck or ears, anxiety , nosebleed. Dexamethasone can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using dexamethasone. Common dexamethasone side effects may include: fluid retention (swelling in your hands or ankles); increased appetite; mood changes, trouble sleeping; skin rash , bruising or discoloration; acne, increased sweating, increased hair growth; headache, dizziness ; nausea , vomiting , upset stomach ; changes in your menstrual periods; or changes in the shape or location of body fat (especially in your arms, legs, face, neck, breasts, and waist)."
Alvesco,Asthma,ciclesonide (inhalation),"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: wheezing, choking, or other breathing problems after using this medication; bronchospasm (wheezing, chest tightness, trouble breathing); sores or white patches in your mouth or throat; vision problems, such as tunnel vision or blurred vision; or worsening asthma symptoms. Common Alvesco side effects may include: unpleasant taste in your mouth; dry mouth, burning or irritation in your mouth; runny or stuffy nose, sore throat; hoarse voice; mild itching or skin rash; joint pain, back pain; or headache."
levalbuterol,Asthma,levalbuterol inhalation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Levalbuterol inhalation may cause serious side effects. Call your doctor at once if you have: wheezing, choking, or other breathing problems after using levalbuterol inhalation; pounding heartbeats or fluttering in your chest; worsening asthma symptoms; or low potassium --leg cramps, constipation , irregular heartbeats, fluttering in your chest, extreme thirst, increased urination, numbness or tingling, muscle weakness or limp feeling. Common side effects of levalbuterol inhalation may include: dizziness , nervousness , tremors; runny nose , sore throat ; chest pain or tightness, irregular heartbeats; pain; or vomiting ."
Ipratropium Inhalation Solution,Asthma,Ipratropium Inhalation Solution,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of a urinary tract infection ( UTI ) like blood in the urine, burning or pain when passing urine, feeling the need to pass urine often or right away, fever, lower stomach pain, or pelvic pain . Change in eyesight, eye pain, or very bad eye irritation. Seeing halos or bright colors around lights. Red eyes. Trouble passing urine, pain when passing urine, passing urine in a weak stream or drips, or passing urine more often. Very bad dizziness or passing out. Fast or abnormal heartbeat. Mouth irritation or mouth sores. This medicine can cause very bad breathing problems right after you take a dose. Sometimes, this may be life-threatening. If you have trouble breathing, breathing that is worse, wheezing, or coughing after using ipratropium inhalation solution, use a rescue inhaler and get medical help right away. Ipratropium Inhalation Solution side effects"
Rayos,Asthma,prednisone,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: muscle pain or weakness; blurred vision, tunnel vision, eye pain , or seeing halos around lights; severe depression , changes in personality, unusual thoughts or behavior; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; swelling, rapid weight gain, feeling short of breath; irregular heartbeats; severe headache , pounding in your neck or ears; decreased adrenal gland hormones - muscle weakness, tiredness, diarrhea, nausea , menstrual changes, skin discoloration, craving salty foods, and feeling light-headed; or low potassium level - leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling. Prednisone can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using this medicine. Common Rayos side effects may include: weight gain (especially in your face or your upper back and torso); increased appetite; mood changes, trouble sleeping; changes in your menstrual periods; problems with memory or thought; muscle or joint pain; weakness; headache, dizziness , spinning sensation; nausea, bloating , loss of appetite; slow wound healing; or acne, increased sweating, thinning skin, bruising, pinpoint spots under your skin."
fluticasone / vilanterol,Asthma,fluticasone and vilanterol,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Fluticasone and vilanterol may cause serious side effects. Call your doctor at once if you have: wheezing, choking, or other breathing problems after using fluticasone and vilanterol; chest pain, fast or pounding heartbeats, pounding in your neck or ears; sores or white patches in your mouth and throat, pain when swallowing; fever, chills, cough with yellow or green mucus; blurred vision, tunnel vision, eye pain , or seeing halos around lights. high blood sugar--increased thirst, increased urination, dry mouth, fruity breath odor; low potassium level--leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling; or signs of a hormonal disorder--worsening tiredness or muscle weakness, feeling light-headed, nausea , vomiting . Common side effects of fluticasone and vilanterol may include: headache , back pain , joint pain; fever, flu symptoms; increased blood pressure; runny or stuffy nose, sore throat , cough; or a hoarse voice."
formoterol / mometasone,Asthma,formoterol and mometasone,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Formoterol and mometasone may cause serious side effects. Call your doctor at once if you have: worsening asthma symptoms; tremors, nervousness , chest pain, fast or pounding heartbeats; fever, chills, cough with mucus, feeling short of breath; wheezing, choking, or other breathing problems after using this medication; blurred vision, tunnel vision, eye pain or redness, or seeing halos around lights; signs of thrush (a fungal infection)--sores or white patches in your mouth or throat, trouble swallowing; high blood sugar--increased thirst, increased urination, dry mouth, fruity breath odor; low potassium level--leg cramps, constipation , irregular heartbeats, fluttering in your chest, numbness or tingling, muscle weakness or limp feeling; or signs of a hormonal disorder--tiredness or weakness, feeling light-headed, nausea , vomiting . Mometasone can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using formoterol and mometasone. Common side effects of formoterol and mometasone may include: runny or stuffy nose, sinus pain; headache ; or cough, sore throat ."
Medrol,Asthma,methylprednisolone (oral),"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Medrol may cause serious side effects. Call your doctor at once if you have: shortness of breath (even with mild exertion), swelling, rapid weight gain; bruising, thinning skin, or any wound that will not heal; blurred vision, tunnel vision, eye pain , or seeing halos around lights; severe depression, changes in personality, unusual thoughts or behavior; new or unusual pain in an arm or leg or in your back; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; seizure (convulsions); or low potassium --leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling. Steroids can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using Medrol. Common side effects of Medrol may include: fluid retention (swelling in your hands or ankles); dizziness , spinning sensation; changes in your menstrual periods; headache ; mild muscle pain or weakness; or stomach discomfort, bloating ."
MethylPREDNISolone Dose Pack,Asthma,methylprednisolone (oral),"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. MethylPREDNISolone Dose Pack may cause serious side effects. Call your doctor at once if you have: shortness of breath (even with mild exertion), swelling, rapid weight gain; bruising, thinning skin, or any wound that will not heal; blurred vision, tunnel vision, eye pain , or seeing halos around lights; severe depression, changes in personality, unusual thoughts or behavior; new or unusual pain in an arm or leg or in your back; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; seizure (convulsions); or low potassium --leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling. Steroids can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using MethylPREDNISolone Dose Pack Dose Pack. Common side effects of MethylPREDNISolone Dose Pack may include: fluid retention (swelling in your hands or ankles); dizziness , spinning sensation; changes in your menstrual periods; headache ; mild muscle pain or weakness; or stomach discomfort, bloating ."
triamcinolone,Asthma,triamcinolone (oral),"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have a serious side effect such as: problems with your vision; swelling, rapid weight gain, feeling short of breath; severe depression, unusual thoughts or behavior, seizure (convulsions); bloody or tarry stools, coughing up blood; pancreatitis (severe pain in your upper stomach spreading to your back, nausea and vomiting, fast heart rate); low potassium (confusion, uneven heart rate, extreme thirst, increased urination, leg discomfort, muscle weakness or limp feeling); or dangerously high blood pressure (severe headache, blurred vision, buzzing in your ears, anxiety, confusion, chest pain, shortness of breath, uneven heartbeats, seizure). Less serious triamcinolone side effects may include: sleep problems (insomnia), mood changes; acne, dry skin, thinning skin, bruising or discoloration; slow wound healing; increased sweating; headache, dizziness, spinning sensation; nausea, stomach pain, bloating; muscle weakness; or changes in the shape or location of body fat (especially in your arms, legs, face, neck, breasts, and waist);"
Dexamethasone Intensol,Asthma,dexamethasone (oral route),"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with your doctor immediately if any of the following side effects occur: More common Aggression agitation anxiety blurred vision decrease in the amount of urine dizziness fast, slow, pounding, or irregular heartbeat or pulse headache irritability mental depression mood changes nervousness noisy, rattling breathing numbness or tingling in the arms or legs pounding in the ears swelling of the fingers, hands, feet, or lower legs trouble thinking, speaking, or walking troubled breathing at rest weight gain Incidence not known Abdominal or stomach cramping and/or burning (severe) or pain backache bloody, black, or tarry stools cough or hoarseness darkening of the skin decrease in height decreased vision diarrhea dry mouth eye pain eye tearing facial hair growth in females fainting fatigue fever or chills flushed, dry skin fractures fruit-like breath odor full or round face, neck, or trunk heartburn and/or indigestion (severe and continuous) increased hunger increased thirst increased urination loss of appetite loss of sexual desire or ability lower back or side pain menstrual irregularities muscle pain or tenderness muscle wasting or weakness nausea pain in the back, ribs, arms, or legs painful or difficult urination skin rash sleeplessness sweating trouble healing trouble sleeping unexplained weight loss unusual tiredness or weakness vision changes vomiting vomiting of material that looks like coffee grounds Some side effects may occur that usually do not need medical attention. These side effects may go away during treatment as your body adjusts to the medicine. Also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. Check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: More common Increased appetite Incidence not known Abnormal fat deposits on the face, neck, and trunk acne dry scalp lightening of normal skin color red face reddish purple lines on the arms, face, legs, trunk, or groin swelling of the stomach area thinning of the scalp hair Other side effects not listed may also occur in some patients. If you notice any other effects, check with your healthcare professional. Call your doctor for medical advice about side effects. You may report side effects to the FDA at 1-800-FDA-1088. Dexamethasone Intensol side effects"
Kenalog-40,Asthma,triamcinolone (injection),"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Kenalog-40 may cause serious side effects. Call your doctor at once if you have: (after injection into a joint space) increased pain or swelling, joint stiffness, fever, and general ill feeling; blurred vision, tunnel vision, eye pain , or seeing halos around lights; unusual changes in mood or behavior; swelling, rapid weight gain, feeling short of breath; stomach cramps, vomiting , diarrhea, bloody or tarry stools, rectal irritation; sudden numbness or weakness (especially on one side of the body); a seizure (convulsions); severe headache , blurred vision, pounding in your neck or ears; increased pressure inside the skull--severe headaches, ringing in your ears, dizziness , nausea , vision problems, pain behind your eyes; or signs of low adrenal gland hormones --flu-like symptoms, headache, depression , weakness, tiredness, diarrhea, vomiting, stomach pain, craving salty foods, and feeling light-headed. Certain side effects may be more likely with long-term use or repeated doses of triamcinolone injection. Steroids can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using Kenalog-40. Common side effects of Kenalog-40 may include: skin changes (acne, dryness, redness, bruising, discoloration); increased hair growth, or thinning hair; nausea, bloating , appetite changes; stomach or side pain; cough, runny or stuffy nose; headache, sleep problems ( insomnia ); a wound that is slow to heal; sweating more than usual; or changes in your menstrual periods."
Medrol Dosepak,Asthma,methylprednisolone (oral),"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Medrol Dosepak may cause serious side effects. Call your doctor at once if you have: shortness of breath (even with mild exertion), swelling, rapid weight gain; bruising, thinning skin, or any wound that will not heal; blurred vision, tunnel vision, eye pain , or seeing halos around lights; severe depression, changes in personality, unusual thoughts or behavior; new or unusual pain in an arm or leg or in your back; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; seizure (convulsions); or low potassium --leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling. Steroids can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using Medrol Dosepak. Common side effects of Medrol Dosepak may include: fluid retention (swelling in your hands or ankles); dizziness , spinning sensation; changes in your menstrual periods; headache ; mild muscle pain or weakness; or stomach discomfort, bloating ."
Depo-Medrol,Asthma,methylprednisolone (injection),"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Depo-Medrol may cause serious side effects. Call your doctor at once if you have: blurred vision, tunnel vision, eye pain , or seeing halos around lights; shortness of breath (even with mild exertion), swelling, rapid weight gain; severe depression , changes in personality, unusual thoughts or behavior; new or unusual pain in an arm or leg or in your back; severe pain in your upper stomach spreading to your back, nausea and vomiting ; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; a seizure (convulsions); or low potassium --leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling. Depo-Medrol can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using Depo-Medrol. Common side effects of Depo-Medrol may include: weight gain (especially in your face or your upper back and torso); slow wound healing; muscle pain or weakness; thinning skin, increased sweating; stomach discomfort, bloating ; headache ; or changes in your menstrual periods."
Solu-Medrol,Asthma,methylprednisolone (injection),"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Solu-MEDROL may cause serious side effects. Call your doctor at once if you have: blurred vision, tunnel vision, eye pain , or seeing halos around lights; shortness of breath (even with mild exertion), swelling, rapid weight gain; severe depression , changes in personality, unusual thoughts or behavior; new or unusual pain in an arm or leg or in your back; severe pain in your upper stomach spreading to your back, nausea and vomiting ; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; a seizure (convulsions); or low potassium --leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling. Solu-MEDROL can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using Solu-MEDROL. Common side effects of Solu-MEDROL may include: weight gain (especially in your face or your upper back and torso); slow wound healing; muscle pain or weakness; thinning skin, increased sweating; stomach discomfort, bloating ; headache ; or changes in your menstrual periods."
Xopenex,Asthma,levalbuterol inhalation,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: wheezing, choking, or other breathing problems after using this medicine; pounding heartbeats or fluttering in your chest; worsening asthma symptoms; or low potassium--leg cramps, constipation, irregular heartbeats, fluttering in your chest, extreme thirst, increased urination, numbness or tingling, muscle weakness or limp feeling. Common Xopenex side effects may include: dizziness, nervousness, tremors; runny nose, sore throat; chest pain or tightness, irregular heartbeats; pain; or vomiting."
Xopenex HFA,Asthma,levalbuterol inhalation,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Xopenex HFA may cause serious side effects. Call your doctor at once if you have: wheezing, choking, or other breathing problems after using Xopenex HFA; pounding heartbeats or fluttering in your chest; worsening asthma symptoms; or low potassium --leg cramps, constipation , irregular heartbeats, fluttering in your chest, extreme thirst, increased urination, numbness or tingling, muscle weakness or limp feeling. Common side effects of Xopenex HFA may include: dizziness , nervousness , tremors; runny nose , sore throat ; chest pain or tightness, irregular heartbeats; pain; or vomiting ."
caffeine,Asthma,"Caffeine Brand names: NoDoz , Vivarin , Revive, Stay Awake , Enerjets, Lucidex","difficulty sleeping (insomnia) nervousness or anxiety irritability nausea headache Seek medical attention right away if any of these severe side effects occur: serious allergic reactions (difficult breathing, chest tightness, swelling of the mouth, face, lips, or tongue, rash, hives, or itching) diarrhea vomiting rapid heart rate or palpitations increased blood pressure chest pain This is not a complete list of all side effects that may occur. Call your health care provider for medical advice about side effects. Caffeine side effects"
